date,patients_in,bed_occupancy_rate,beds_occupied,icu_beds,ventilators,doctors,nurses,staff
2023-05-04,13,87.12,87,2,4,12,20,30
2023-05-03,26,84.76,84,3,2,10,37,29
2023-05-02,29,92.28,92,8,2,15,28,24
2023-05-01,14,87.26,87,8,4,16,21,22
2023-04-30,22,56.95,56,7,1,12,27,23
2023-04-29,29,63.05,63,2,2,11,39,38
2023-04-28,21,81.58,81,4,1,12,38,25
2023-04-27,19,71.09,71,1,4,17,27,36
2023-04-26,23,54.53,54,8,4,11,21,37
2023-04-25,21,85.73,85,7,3,12,38,33
2023-04-24,25,57.46,57,4,1,16,39,31
2023-04-23,14,74.22,74,9,2,17,37,31
2023-04-22,11,68.49,68,6,2,17,27,28
2023-04-21,27,51.15,51,5,4,10,35,35
2023-04-20,29,72.09,72,2,4,18,39,39
2023-04-19,18,52.87,52,3,2,12,25,28
2023-04-18,20,85.39,85,9,4,12,29,38
2023-04-17,29,74.94,74,4,4,18,31,22
2023-04-16,14,64.82,64,2,2,18,20,33
2023-04-15,23,62.88,62,7,1,19,32,32
2023-04-14,22,75.55,75,4,2,16,27,34
2023-04-13,12,61.88,61,1,3,19,25,23
2023-04-12,20,56.58,56,9,1,18,34,20
2023-04-11,10,70.43,70,6,1,14,37,21
2023-04-10,17,74.8,74,1,1,18,21,35
2023-04-09,16,52.58,52,8,4,14,33,20
2023-04-08,13,98.44,98,5,1,15,21,39
2023-04-07,23,61.26,61,4,2,11,31,37
2023-04-06,24,73.54,73,8,3,17,26,26
2023-04-05,18,95.77,95,3,3,19,28,26
2023-04-04,21,83.79,83,8,2,13,20,38
2023-04-03,12,83.76,83,1,2,12,35,34
2023-04-02,17,70.92,70,9,2,12,30,20
2023-04-01,16,59.83,59,9,1,10,26,35
2023-03-31,17,52.82,52,6,1,15,27,37
2023-03-30,17,90.98,90,2,4,17,32,27
2023-03-29,10,92.35,92,9,1,13,31,35
2023-03-28,12,91.46,91,3,1,10,23,23
2023-03-27,24,97.5,97,4,4,11,39,24
2023-03-26,23,65.81,65,3,1,14,24,29
2023-03-25,16,56.82,56,3,4,12,22,37
2023-03-24,28,53.79,53,8,3,16,21,36
2023-03-23,11,84.57,84,5,1,16,34,28
2023-03-22,19,78.52,78,5,1,12,31,34
2023-03-21,22,90.24,90,1,2,19,20,37
2023-03-20,10,51.8,51,1,1,16,30,39
2023-03-19,21,71.69,71,4,4,19,25,35
2023-03-18,10,61.78,61,3,1,19,25,30
2023-03-17,24,92.86,92,8,4,17,20,33
2023-03-16,16,70.78,70,6,2,10,24,29
2023-03-15,24,76.38,76,3,3,17,28,32
2023-03-14,12,76.6,76,5,4,13,32,27
2023-03-13,10,56.07,56,6,4,12,26,32
2023-03-12,24,61.4,61,1,1,14,20,32
2023-03-11,21,53.46,53,8,2,12,27,26
2023-03-10,23,74.47,74,3,4,11,24,36
2023-03-09,24,81.8,81,6,2,13,24,21
2023-03-08,26,77.77,77,3,2,13,35,35
2023-03-07,16,60.26,60,6,3,11,27,35
2023-03-06,13,79.45,79,6,2,13,35,36
2023-03-05,24,88.99,88,1,1,19,22,34
2023-03-04,24,88.04,88,5,3,14,24,34
2023-03-03,27,66.37,66,4,2,16,20,28
2023-03-02,15,96.58,96,6,3,12,24,34
2023-03-01,24,52.84,52,3,4,14,39,24
2023-02-28,28,92.34,92,8,1,14,29,32
2023-02-27,13,87.12,87,8,2,10,32,33
2023-02-26,21,59.93,59,5,2,18,33,28
2023-02-25,19,74.05,74,6,1,11,25,37
2023-02-24,18,73.09,73,1,4,19,39,25
2023-02-23,16,71.94,71,7,3,10,32,24
2023-02-22,23,65.61,65,4,3,11,29,39
2023-02-21,19,99.07,99,3,4,19,29,29
2023-02-20,14,96.7,96,1,1,17,25,39
2023-02-19,19,86.62,86,7,3,19,37,31
2023-02-18,28,95.09,95,1,2,18,30,28
2023-02-17,25,71.05,71,4,2,12,21,24
2023-02-16,27,75.07,75,3,3,15,31,21
2023-02-15,13,50.85,50,7,2,17,30,36
2023-02-14,23,71.19,71,4,4,15,22,21
2023-02-13,21,52.91,52,9,4,17,38,27
2023-02-12,24,51.67,51,2,1,13,21,26
2023-02-11,29,77.33,77,2,2,15,34,22
2023-02-10,27,98.13,98,6,2,19,28,31
2023-02-09,18,90.17,90,3,1,12,36,37
2023-02-08,16,54.33,54,3,2,18,34,38
2023-02-07,27,95.41,95,7,3,15,33,39
2023-02-06,17,99.75,99,4,4,13,36,36
2023-02-05,10,90.91,90,5,3,15,29,36
2023-02-04,21,99.59,99,8,4,11,21,30
2023-02-03,25,82.86,82,6,3,10,34,38
2023-02-02,22,87.53,87,8,1,17,34,26
2023-02-01,25,78.16,78,4,3,12,21,23
2023-01-31,11,56.84,56,2,2,16,23,39
2023-01-30,18,74.08,74,2,2,11,37,20
2023-01-29,20,63.45,63,3,2,12,34,25
2023-01-28,21,64.54,64,1,3,13,35,21
2023-01-27,20,99.53,99,6,3,15,28,39
2023-01-26,11,62.44,62,9,4,10,23,29
2023-01-25,12,51.68,51,7,3,10,35,27
2023-01-24,21,86.31,86,3,1,17,32,36
2023-01-23,20,67.13,67,3,4,14,39,39
2023-01-22,13,90.69,90,2,3,16,35,39
2023-01-21,24,64.44,64,2,2,16,33,22
2023-01-20,29,88.65,88,5,2,16,39,30
2023-01-19,21,61.14,61,3,1,19,28,29
2023-01-18,20,60.11,60,7,2,13,33,34
2023-01-17,21,81.55,81,6,1,10,37,37
2023-01-16,27,52.4,52,3,1,14,30,34
2023-01-15,15,94.16,94,4,3,15,22,24
2023-01-14,23,90.3,90,9,1,14,23,37
2023-01-13,21,90.83,90,1,4,12,20,36
2023-01-12,11,96.4,96,2,4,14,38,33
2023-01-11,24,87.41,87,6,1,16,38,23
2023-01-10,24,55.7,55,1,2,14,26,24
2023-01-09,19,65.44,65,7,2,12,29,36
2023-01-08,29,77.34,77,2,1,13,34,30
2023-01-07,12,53.69,53,8,4,15,35,33
2023-01-06,12,69.16,69,2,1,15,38,30
2023-01-05,16,54.55,54,8,2,12,25,35
2023-01-04,19,98.14,98,9,3,18,24,36
2023-01-03,26,97.98,97,6,4,12,31,20
2023-01-02,12,73.71,73,5,1,15,38,34
2023-01-01,26,80.11,80,9,4,18,39,31
2022-12-31,17,93.92,93,3,4,14,38,21
2022-12-30,22,70.79,70,7,1,16,23,25
2022-12-29,10,79.87,79,6,2,19,31,38
2022-12-28,19,92.9,92,2,2,15,39,26
2022-12-27,21,92.82,92,8,4,16,29,31
2022-12-26,19,70.77,70,4,2,15,39,27
2022-12-25,24,68.84,68,3,3,14,29,38
2022-12-24,17,82.07,82,4,2,11,20,39
2022-12-23,22,63.02,63,3,4,17,25,30
2022-12-22,17,90.64,90,9,1,17,37,29
2022-12-21,27,63.75,63,7,1,19,23,29
2022-12-20,13,70.63,70,8,3,14,39,30
2022-12-19,15,93.77,93,4,2,18,34,29
2022-12-18,12,89.13,89,6,4,19,32,28
2022-12-17,17,89.51,89,6,4,11,21,31
2022-12-16,10,75.39,75,8,4,10,32,26
2022-12-15,17,63.13,63,7,2,14,37,26
2022-12-14,12,52.3,52,1,1,12,36,31
2022-12-13,20,69.89,69,4,4,11,33,30
2022-12-12,29,98.24,98,2,3,19,26,23
2022-12-11,10,71.98,71,4,1,15,21,27
2022-12-10,14,67.58,67,7,1,17,30,30
2022-12-09,29,68.54,68,2,3,15,21,33
2022-12-08,21,58.66,58,9,4,19,21,36
2022-12-07,17,53.37,53,8,4,17,29,30
2022-12-06,23,66.97,66,5,4,12,24,20
2022-12-05,13,54.38,54,1,2,14,35,33
2022-12-04,12,90.59,90,3,2,18,28,36
2022-12-03,29,50.88,50,5,1,10,23,34
2022-12-02,28,86.91,86,3,2,19,35,26
2022-12-01,26,80.06,80,4,4,16,22,31
2022-11-30,16,99.99,99,8,3,10,22,36
2022-11-29,10,56.08,56,5,3,10,39,32
2022-11-28,23,55.68,55,1,4,19,25,38
2022-11-27,29,98.53,98,7,4,15,28,33
2022-11-26,11,63.52,63,3,2,15,22,39
2022-11-25,11,61.42,61,7,3,17,32,23
2022-11-24,13,59.22,59,1,1,16,38,31
2022-11-23,12,89.54,89,6,1,14,35,22
2022-11-22,27,98.32,98,9,4,16,35,32
2022-11-21,16,95.98,95,2,2,14,38,26
2022-11-20,18,68.27,68,6,4,19,32,28
2022-11-19,27,84.99,84,6,2,10,37,31
2022-11-18,10,76.42,76,3,2,13,21,28
2022-11-17,15,97.43,97,3,4,12,39,37
2022-11-16,23,75.1,75,1,4,11,33,37
2022-11-15,16,96.65,96,4,2,17,27,25
2022-11-14,14,79.83,79,9,4,15,39,28
2022-11-13,17,79.36,79,4,1,17,31,38
2022-11-12,28,96.38,96,4,2,16,34,21
2022-11-11,28,61.23,61,1,1,15,38,32
2022-11-10,22,92.36,92,9,1,13,31,34
2022-11-09,10,87.31,87,3,1,15,33,20
2022-11-08,21,96.39,96,6,2,19,22,39
2022-11-07,20,98.49,98,5,1,19,27,20
2022-11-06,27,58.0,57,3,3,14,26,33
2022-11-05,20,98.33,98,9,4,11,27,29
2022-11-04,16,52.22,52,3,3,14,30,21
2022-11-03,12,72.04,72,4,3,10,32,38
2022-11-02,28,61.28,61,8,1,15,26,36
2022-11-01,26,51.72,51,9,1,15,27,24
2022-10-31,20,78.28,78,8,1,11,30,36
2022-10-30,17,95.95,95,5,2,12,20,21
2022-10-29,14,64.23,64,4,3,13,31,33
2022-10-28,13,54.66,54,4,4,14,39,33
2022-10-27,26,65.1,65,9,3,18,27,37
2022-10-26,27,66.56,66,4,4,10,31,38
2022-10-25,24,94.37,94,9,4,16,39,20
2022-10-24,11,74.35,74,8,3,11,35,36
2022-10-23,11,97.64,97,3,1,12,33,35
2022-10-22,15,65.59,65,7,4,14,38,36
2022-10-21,11,86.25,86,6,3,11,26,38
2022-10-20,21,82.14,82,7,1,15,24,20
2022-10-19,22,99.96,99,2,4,15,26,34
2022-10-18,12,70.33,70,3,1,15,24,39
2022-10-17,19,69.9,69,8,2,12,29,32
2022-10-16,23,61.75,61,5,3,12,29,39
2022-10-15,28,91.69,91,7,2,18,23,30
2022-10-14,29,71.69,71,4,4,16,32,32
2022-10-13,14,59.19,59,1,2,12,38,31
2022-10-12,25,89.88,89,7,1,13,37,20
2022-10-11,19,65.62,65,9,4,11,22,25
2022-10-10,20,63.62,63,7,4,10,29,28
2022-10-09,13,53.18,53,6,3,10,21,21
2022-10-08,12,56.86,56,9,1,15,32,26
2022-10-07,11,61.47,61,1,4,12,27,21
2022-10-06,22,95.21,95,6,1,12,27,20
2022-10-05,11,94.92,94,4,1,13,31,28
2022-10-04,23,76.4,76,7,2,12,32,24
2022-10-03,23,59.9,59,2,1,12,32,27
2022-10-02,15,51.57,51,3,3,17,24,32
2022-10-01,19,66.21,66,7,2,11,27,34
2022-09-30,15,61.24,61,2,1,18,38,29
2022-09-29,14,62.66,62,1,4,19,33,22
2022-09-28,24,88.03,88,9,4,16,34,35
2022-09-27,16,63.69,63,8,2,11,22,25
2022-09-26,21,56.6,56,2,3,13,35,35
2022-09-25,28,97.94,97,4,4,16,23,28
2022-09-24,17,77.34,77,5,1,15,39,21
2022-09-23,26,96.0,96,7,3,13,27,35
2022-09-22,14,64.6,64,9,2,15,27,35
2022-09-21,12,84.87,84,5,1,13,20,26
2022-09-20,14,62.33,62,9,3,13,29,23
2022-09-19,19,84.79,84,9,3,10,34,20
2022-09-18,20,56.61,56,5,3,14,38,21
2022-09-17,24,53.41,53,2,1,18,32,24
2022-09-16,15,82.55,82,5,2,19,32,30
2022-09-15,11,57.0,56,6,3,10,37,26
2022-09-14,25,60.95,60,9,3,14,35,33
2022-09-13,22,77.32,77,2,1,12,36,33
2022-09-12,15,90.52,90,5,1,19,37,28
2022-09-11,16,93.19,93,4,4,13,38,21
2022-09-10,23,90.94,90,7,1,11,27,23
2022-09-09,27,94.04,94,5,2,10,37,37
2022-09-08,20,59.98,59,9,3,10,30,33
2022-09-07,14,91.56,91,4,4,13,39,36
2022-09-06,17,84.47,84,3,1,17,33,35
2022-09-05,13,53.89,53,8,4,18,22,38
2022-09-04,11,89.56,89,8,3,16,32,30
2022-09-03,10,67.78,67,4,1,15,33,38
2022-09-02,11,55.78,55,1,2,17,34,20
2022-09-01,23,60.01,60,7,1,15,25,21
2022-08-31,20,99.5,99,7,4,17,22,32
2022-08-30,14,60.51,60,3,1,18,38,35
2022-08-29,19,98.81,98,4,3,15,31,25
2022-08-28,21,56.14,56,4,3,15,23,28
2022-08-27,15,57.02,57,8,4,13,36,31
2022-08-26,11,64.46,64,1,4,16,20,23
2022-08-25,21,77.82,77,1,2,15,39,33
2022-08-24,12,97.49,97,3,2,13,25,32
2022-08-23,23,66.8,66,8,2,13,25,23
2022-08-22,21,84.53,84,8,2,13,27,20
2022-08-21,28,53.32,53,4,2,13,28,20
2022-08-20,19,67.22,67,7,3,19,37,28
2022-08-19,24,52.66,52,7,1,12,31,28
2022-08-18,15,70.06,70,2,1,19,32,27
2022-08-17,27,74.43,74,6,4,16,33,22
2022-08-16,18,79.3,79,1,3,10,39,30
2022-08-15,14,96.09,96,1,2,16,32,28
2022-08-14,21,62.65,62,8,1,15,28,33
2022-08-13,26,97.74,97,8,1,13,21,36
2022-08-12,23,80.15,80,1,4,17,37,26
2022-08-11,15,89.51,89,4,1,10,29,37
2022-08-10,18,58.21,58,6,4,17,21,25
2022-08-09,20,98.88,98,6,4,11,31,33
2022-08-08,21,76.04,76,9,4,16,22,21
2022-08-07,12,76.5,76,2,1,19,25,27
2022-08-06,21,74.58,74,4,4,13,25,21
2022-08-05,27,98.63,98,3,4,13,29,28
2022-08-04,27,51.69,51,2,2,13,39,28
2022-08-03,28,71.69,71,3,4,14,24,21
2022-08-02,20,60.55,60,7,4,11,34,37
2022-08-01,27,93.4,93,1,3,15,21,39
2022-07-31,11,64.24,64,5,1,10,21,21
2022-07-30,28,93.46,93,8,3,19,28,30
2022-07-29,17,86.98,86,3,1,17,35,26
2022-07-28,20,60.76,60,4,2,19,32,35
2022-07-27,24,77.11,77,9,4,18,20,36
2022-07-26,18,50.19,50,3,4,11,36,26
2022-07-25,13,63.68,63,6,2,13,35,32
2022-07-24,14,89.74,89,1,3,11,20,24
2022-07-23,15,66.47,66,4,1,16,23,37
2022-07-22,13,88.92,88,8,2,18,35,32
2022-07-21,17,77.06,77,4,3,11,23,39
2022-07-20,12,66.66,66,2,4,16,26,31
2022-07-19,18,73.81,73,7,1,14,31,36
2022-07-18,28,50.65,50,3,1,14,20,37
2022-07-17,20,94.36,94,1,3,16,20,29
2022-07-16,27,81.77,81,5,2,11,30,24
2022-07-15,17,92.77,92,2,2,16,29,33
2022-07-14,18,88.37,88,4,2,16,22,27
2022-07-13,18,94.91,94,1,1,15,30,26
2022-07-12,18,60.81,60,3,4,12,30,33
2022-07-11,10,99.94,99,3,4,17,28,37
2022-07-10,17,79.8,79,9,2,17,30,25
2022-07-09,18,73.64,73,5,3,15,24,21
2022-07-08,24,93.4,93,1,1,10,27,34
2022-07-07,13,91.5,91,2,2,19,26,22
2022-07-06,19,58.36,58,1,4,14,28,38
2022-07-05,22,96.89,96,9,2,16,34,37
2022-07-04,18,75.32,75,2,1,15,26,31
2022-07-03,29,89.8,89,5,1,19,23,34
2022-07-02,14,81.14,81,5,4,11,35,23
2022-07-01,24,77.9,77,3,3,14,25,28
2022-06-30,13,85.75,85,9,2,10,23,29
2022-06-29,24,69.4,69,5,3,16,23,30
2022-06-28,16,76.2,76,6,1,11,26,30
2022-06-27,28,83.85,83,3,3,13,28,21
2022-06-26,11,78.33,78,6,4,14,28,31
2022-06-25,25,84.34,84,7,4,16,36,21
2022-06-24,15,73.83,73,1,3,10,27,25
2022-06-23,24,82.37,82,4,1,15,24,25
2022-06-22,13,53.26,53,5,4,18,34,25
2022-06-21,13,99.79,99,7,1,19,24,35
2022-06-20,12,75.3,75,7,2,15,24,39
2022-06-19,16,87.74,87,1,2,13,25,24
2022-06-18,22,94.52,94,4,2,13,39,26
2022-06-17,17,89.74,89,8,3,14,37,39
2022-06-16,12,61.83,61,3,2,15,25,36
2022-06-15,29,94.9,94,6,2,18,36,23
2022-06-14,22,89.85,89,1,1,10,38,34
2022-06-13,14,62.51,62,2,3,15,28,32
2022-06-12,12,56.33,56,9,1,10,29,39
2022-06-11,27,67.6,67,9,3,15,29,24
2022-06-10,20,51.56,51,6,2,10,27,26
2022-06-09,13,75.45,75,6,2,12,38,28
2022-06-08,12,93.92,93,6,4,18,20,22
2022-06-07,16,54.56,54,7,4,13,39,20
2022-06-06,17,68.69,68,8,2,11,34,25
2022-06-05,15,90.08,90,4,2,10,24,22
2022-06-04,21,84.74,84,4,1,16,27,26
2022-06-03,11,75.07,75,1,4,15,25,20
2022-06-02,26,77.08,77,4,4,11,26,32
2022-06-01,29,82.83,82,6,3,17,23,26
2022-05-31,15,89.46,89,7,2,19,32,29
2022-05-30,13,76.0,75,5,3,13,27,33
2022-05-29,28,84.13,84,9,2,14,39,28
2022-05-28,15,63.03,63,6,4,14,38,23
2022-05-27,10,95.13,95,6,4,18,33,25
2022-05-26,19,72.28,72,3,4,16,26,22
2022-05-25,28,82.61,82,2,4,14,37,34
2022-05-24,29,97.52,97,2,3,15,29,38
2022-05-23,25,88.28,88,9,2,18,32,27
2022-05-22,17,84.11,84,5,2,11,21,20
2022-05-21,28,90.86,90,3,3,10,23,33
2022-05-20,23,85.91,85,5,4,18,29,20
2022-05-19,29,73.18,73,8,1,16,28,20
2022-05-18,16,62.46,62,9,4,15,26,26
2022-05-17,24,67.49,67,3,2,13,33,31
2022-05-16,11,97.94,97,8,3,14,28,31
2022-05-15,15,59.94,59,9,2,12,31,33
2022-05-14,11,81.38,81,2,4,14,20,23
2022-05-13,23,72.15,72,3,2,11,30,38
2022-05-12,20,58.61,58,9,3,11,39,30
2022-05-11,20,50.38,50,9,3,16,39,27
2022-05-10,28,95.21,95,7,4,14,37,37
2022-05-09,24,55.23,55,9,4,13,26,21
2022-05-08,20,51.97,51,5,3,14,35,32
2022-05-07,26,87.65,87,2,4,12,26,33
2022-05-06,16,56.05,56,3,2,10,22,32
2022-05-05,24,98.52,98,1,4,17,30,24
2022-05-04,16,69.15,69,8,2,17,22,28
2022-05-03,16,90.95,90,8,2,14,29,28
2022-05-02,19,80.16,80,1,3,18,36,23
2022-05-01,14,97.2,97,2,4,15,26,34
2022-04-30,12,99.08,99,5,2,10,23,39
2022-04-29,29,76.54,76,4,3,12,20,30
2022-04-28,15,90.86,90,3,1,10,21,33
2022-04-27,13,96.37,96,6,3,17,30,30
2022-04-26,23,57.48,57,4,1,16,37,39
2022-04-25,13,53.45,53,7,1,12,36,24
2022-04-24,25,67.08,67,6,4,17,28,20
2022-04-23,15,95.1,95,2,1,17,21,23
2022-04-22,15,87.37,87,4,2,10,30,35
2022-04-21,20,59.46,59,4,4,19,21,36
2022-04-20,18,99.57,99,5,1,13,24,21
2022-04-19,29,57.82,57,2,1,15,29,39
2022-04-18,10,94.37,94,8,4,16,39,31
2022-04-17,24,77.95,77,2,2,11,29,33
2022-04-16,29,73.92,73,4,2,11,20,32
2022-04-15,21,86.01,86,4,1,16,38,27
2022-04-14,14,96.59,96,3,3,18,32,38
2022-04-13,27,87.35,87,5,1,17,22,29
2022-04-12,24,61.17,61,8,3,13,39,31
2022-04-11,20,96.59,96,6,2,13,39,22
2022-04-10,29,99.96,99,9,2,11,21,35
2022-04-09,14,62.21,62,4,1,12,22,28
2022-04-08,23,71.64,71,7,4,19,32,35
2022-04-07,29,70.82,70,5,2,17,26,27
2022-04-06,27,82.23,82,4,4,15,32,24
2022-04-05,20,74.87,74,5,1,17,32,36
2022-04-04,15,82.43,82,6,2,16,35,32
2022-04-03,24,88.37,88,8,2,10,34,23
2022-04-02,25,52.27,52,7,2,11,30,25
2022-04-01,17,83.64,83,1,2,19,25,34
2022-03-31,13,52.33,52,7,3,11,28,38
2022-03-30,13,53.13,53,1,3,11,29,33
2022-03-29,16,91.92,91,4,4,17,34,20
2022-03-28,10,98.64,98,7,2,14,21,35
2022-03-27,27,62.13,62,5,4,15,35,30
2022-03-26,23,67.74,67,4,4,18,24,26
2022-03-25,13,94.09,94,5,2,13,27,28
2022-03-24,17,61.68,61,1,4,14,36,31
2022-03-23,28,54.36,54,1,2,12,31,32
2022-03-22,12,99.64,99,5,2,12,22,28
2022-03-21,19,61.67,61,1,1,11,33,24
2022-03-20,13,80.17,80,7,4,14,29,34
2022-03-19,24,74.19,74,6,1,13,27,25
2022-03-18,24,78.29,78,5,3,12,26,37
2022-03-17,19,54.13,54,2,3,14,20,32
2022-03-16,12,71.91,71,9,3,15,24,22
2022-03-15,27,99.15,99,3,2,13,38,20
2022-03-14,23,53.49,53,9,3,12,37,27
2022-03-13,19,71.14,71,8,2,13,24,32
2022-03-12,24,96.54,96,6,4,11,37,29
2022-03-11,28,82.87,82,1,2,15,27,24
2022-03-10,21,88.95,88,5,3,16,25,25
2022-03-09,24,50.94,50,8,3,17,31,20
2022-03-08,16,76.65,76,2,3,15,30,36
2022-03-07,11,50.56,50,5,2,14,29,23
2022-03-06,22,52.1,52,4,3,16,26,29
2022-03-05,11,88.34,88,4,1,16,25,21
2022-03-04,12,56.35,56,8,1,13,21,29
2022-03-03,21,53.91,53,8,1,13,26,21
2022-03-02,18,73.02,73,9,2,13,23,20
2022-03-01,14,97.2,97,8,1,14,24,30
2022-02-28,21,80.12,80,5,2,10,24,24
2022-02-27,18,55.32,55,8,3,12,21,21
2022-02-26,19,89.14,89,5,3,17,24,26
2022-02-25,26,58.52,58,6,1,16,36,21
2022-02-24,21,95.59,95,9,2,14,25,37
2022-02-23,29,50.64,50,2,4,13,36,29
2022-02-22,10,99.4,99,5,4,12,24,21
2022-02-21,17,60.61,60,4,3,17,39,34
2022-02-20,13,84.38,84,5,1,17,25,30
2022-02-19,28,74.13,74,1,3,10,35,22
2022-02-18,23,86.59,86,6,2,13,34,25
2022-02-17,13,91.94,91,5,2,12,24,34
2022-02-16,18,64.5,64,1,2,19,24,33
2022-02-15,18,70.53,70,6,3,18,20,26
2022-02-14,11,88.22,88,9,3,17,34,28
2022-02-13,10,95.95,95,5,4,18,27,25
2022-02-12,25,73.91,73,4,1,18,35,39
2022-02-11,22,56.33,56,5,1,17,35,33
2022-02-10,23,73.44,73,4,2,17,26,25
2022-02-09,13,94.11,94,4,3,15,20,26
2022-02-08,29,98.43,98,1,4,13,31,30
2022-02-07,12,97.85,97,5,1,16,31,25
2022-02-06,14,84.3,84,4,2,11,26,21
2022-02-05,22,95.3,95,4,2,12,20,20
2022-02-04,14,75.28,75,4,1,18,22,29
2022-02-03,24,64.39,64,6,1,17,23,28
2022-02-02,29,87.54,87,4,3,19,38,27
2022-02-01,25,77.41,77,6,4,10,22,31
2022-01-31,17,85.85,85,1,2,19,31,37
2022-01-30,26,84.48,84,5,3,12,29,39
2022-01-29,13,81.71,81,6,3,19,25,37
2022-01-28,22,91.63,91,1,2,12,36,39
2022-01-27,11,75.15,75,3,4,17,22,30
2022-01-26,22,51.04,51,6,2,10,27,28
2022-01-25,15,59.85,59,6,2,18,30,34
2022-01-24,15,55.85,55,8,2,12,35,21
2022-01-23,20,59.94,59,6,2,14,22,33
2022-01-22,21,53.37,53,4,4,18,24,22
2022-01-21,11,95.59,95,4,3,11,28,37
2022-01-20,26,72.17,72,5,3,14,32,35
2022-01-19,17,50.58,50,8,1,13,39,27
2022-01-18,10,92.48,92,9,4,18,21,34
2022-01-17,22,58.08,58,3,1,12,29,24
2022-01-16,14,78.77,78,1,1,14,27,39
2022-01-15,21,75.36,75,6,2,14,36,39
2022-01-14,28,80.93,80,7,2,12,39,25
2022-01-13,28,88.94,88,2,2,12,21,38
2022-01-12,24,60.59,60,5,1,18,35,26
2022-01-11,14,84.24,84,6,2,19,37,23
2022-01-10,18,88.42,88,6,3,16,27,21
2022-01-09,16,79.53,79,2,4,18,22,28
2022-01-08,11,72.48,72,9,3,13,39,24
2022-01-07,20,82.78,82,7,3,19,38,36
2022-01-06,23,95.51,95,3,1,19,29,37
2022-01-05,29,96.78,96,2,2,14,26,31
2022-01-04,11,55.63,55,6,4,19,32,31
2022-01-03,22,98.84,98,3,2,16,32,24
2022-01-02,21,78.53,78,3,2,13,27,31
2022-01-01,29,78.29,78,2,1,18,24,35
